Place	Bib	Name	Team	Time
352nd	605	Glenn Allen	Eliel Factory Team	10h 17m 32.82s
353rd	480	Friedrich Drees	Team Stages	10h 18m 09.45s
354th	598	Jason Wood		10h 18m 23.13s
355th	491	Daniel Funk	Velo Club La Grange	10h 19m 50.85s
356th	743	Timothy Becker	Tri Club of San Diego	10h 19m 51.16s
357th	1357	Bob Wong		10h 20m 16.18s
358th	489	Michael Farrell		10h 20m 30.47s
359th	483	Keith Edmiston	Coureur - Canyon Elite Cycling	10h 21m 05.56s
360th	700	Richard Ramsey	Wheels 4 Life	10h 21m 20.44s
361st	918	Gary Ehrlich	Bretheren	10h 23m 10.84s
362nd	933	Chris Fillo		10h 23m 17.31s
363rd	256	Chris Down	Hot Wheels Factory Team	10h 24m 51.44s
364th	706	Scott Rosenberg	Hotwheels Factory Team	10h 24m 51.96s
365th	368	Mark Hagen	C3-PB Wagner	10h 24m 55.85s
366th	1445	Jaime Carrillo	Ranchos	10h 24m 57.88s
367th	793	John Abcarius	San Diego Descenders	10h 24m 58.30s
368th	1208	Ryan Post	Rouleur Brewing	10h 25m 01.62s
369th	611	Brad Bartelt	Coureur Cycling	10h 25m 09.36s
370th	717	Jeff Standish	Sage Factory Racing	10h 25m 50.76s
371st	438	Robin Wessel	Sage titanium factory racing	10h 25m 55.76s
372nd	873	William Coleman	FLO Factory Team	10h 25m 58.15s
373rd	456	Paul Bickerton	First City Cycling Team p/b Noosa	10h 26m 03.32s
374th	524	Tommy Kline	Zone Five Racing	10h 26m 18.77s
375th	1350	Craig Williams		10h 26m 28.45s
376th	885	Zach Cowie		10h 26m 35.44s
377th	1304	Wayne Thayer		10h 26m 36.97s
378th	678	Kyle McFarland	White Pine Athletics	10h 27m 33.62s
379th	535	Matt Mallet	Eliel Factory Team	10h 28m 52.85s
380th	1316	Robinson Urrego	PPBC	10h 28m 58.01s
381st	1024	Jacobey Johnson		10h 30m 59.36s
382nd	464	Fredrick Brooks	Serious Cycling	10h 30m 59.53s
383rd	1347	Gordon Williams	MeMyselfAndI	10h 31m 07.97s
384th	338	Brian Becker		10h 31m 12.54s
385th	870	Christopher Clark		10h 31m 18.02s
386th	568	Pete Schoenenberger	Funsport Bikes Cycling Team p/b ciclistasdelvalle.org	10h 31m 18.80s
387th	979	Max Hanson		10h 31m 56.22s
388th	1186	Michael Lord		10h 31m 56.83s
389th	724	Carl Tilander	Coureur	10h 32m 04.67s
390th	542	Peter Monko	Spidermonkey Cycling	10h 32m 10.56s
391st	1054	Ole Kupsch		10h 32m 21.81s
392nd	992	Adrian Hernandez	Border Cycle 3T Canyon	10h 32m 44.87s
393rd	993	Jose Hernandez	Border Cycle, one 4 nine	10h 32m 45.23s
394th	784	Jordan Robertson		10h 32m 49.93s
395th	638	Noah Fairles		10h 33m 02.17s
396th	1467	Giagoro Giuliani		10h 33m 31.31s
397th	1044	Paul King	Broken Spoke	10h 33m 52.92s
398th	909	Nathan Dollick	Coureur	10h 34m 28.08s
399th	660	Phil Hess		10h 34m 48.12s
400th	387	Robert Krohn	Firestone Walker Race Team	10h 35m 04.89s
401st	454	Hicham Bekraoui	Aduro racing club	10h 35m 29.35s
402nd	1227	Mike Reese	Coureur	10h 35m 51.32s
403rd	1028	Anthony Jones		10h 35m 51.46s
404th	342	Brian Bradley		10h 35m 53.29s
405th	790	Glen Wells	Canyon Velo	10h 35m 54.14s
406th	545	Juan Navarro		10h 35m 57.02s
407th	988	Jan Heath	The Bike Shop Temecula	10h 36m 05.33s
408th	1381	Allen Gomez		10h 36m 05.54s
409th	119	Karl Bordine	LOST ABBEY	10h 36m 59.69s
410th	1313	Truong Tran	VeloGoats	10h 37m 00.77s
411th	1354	Timothy Wilson	Pure Ride Cycles	10h 37m 01.00s
412th	1428	Santiago Serrano	Vatio	10h 37m 41.22s
413th	808	Angel Avalos	Pedales Chihuahua	10h 37m 41.44s
414th	733	Jack Watson	Bros Ride Bikes	10h 37m 46.02s
415th	944	Matt Frankovsky		10h 37m 49.60s
416th	1256	Timothy Ryan	The Ryan Firm	10h 37m 50.59s
417th	1184	Bret Parke	Sonoran Cycosis	10h 37m 50.61s
418th	97	Michael Collins		10h 39m 21.74s
419th	83	Daniel Eitman	Descent Race Team/Cycleogical	10h 39m 21.83s
420th	71	Christopher Eckstein	Sport Systems 505 Cycling	10h 39m 22.75s
421st	839	Tim Brown	NMVS	10h 39m 23.69s
422nd	497	Pete Graves	Soul Integrated Solutions	10h 39m 55.19s
423rd	421	David Rosen	Sage Titanium Factory Racing	10h 39m 59.52s
424th	513	Taso Iosifidis	Coureur Elite Cycling Team	10h 40m 19.01s
425th	1448	Juan Arias	Melody Cycling Team	10h 40m 22.28s
426th	967	Camilo Giraldo		10h 40m 22.45s
427th	774	Craig Miller	Coureur p/b Spinergy	10h 40m 22.62s
428th	276	Matthew Kramer		10h 40m 25.82s
429th	946	Jaryd Freedman		10h 40m 58.06s
430th	836	Giovanni Bresin		10h 41m 32.96s
431st	682	Paolo Morales	OK Racing	10h 42m 06.55s
432nd	1443	Charles Wright	Big orange	10h 42m 14.16s
433rd	131	Keith Evans	La Mesa Rouleurs	10h 42m 20.77s
434th	628	Benjamin Crandall	Vivid Cycling Club	10h 42m 21.03s
435th	629	John Dalton	Team Velocity	10h 42m 39.08s
